product_name,brand_id,product_link,current_price,original_price,percent_discount
Xiaomi Redmi Note 11 Pro Plus 5G - Chỉ có tại CellphoneS,3,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-plus.html,6.790.000₫,9.990.000₫,Giảm 32%
Xiaomi Redmi Note 11 Pro,3,https://cellphones.com.vn/xiaomi-redmi-note-11-pro.html,5.790.000₫,7.490.000₫,Giảm 23%
Xiaomi 12T Pro,3,https://cellphones.com.vn/xiaomi-mi-12t-pro.html,14.690.000₫,16.990.000₫,Giảm 14%
Xiaomi 11 Lite 5G NE,3,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html,6.090.000₫,9.490.000₫,Giảm 36%
POCO X5 5G 6GB 128GB - Chỉ có tại CellphoneS,3,https://cellphones.com.vn/poco-x5.html,5.450.000₫,6.490.000₫,Giảm 16%
Xiaomi Mi 11 Lite 5G,3,https://cellphones.com.vn/xiaomi-mi-11-lite.html,7.490.000₫,10.490.000₫,Giảm 29%
Xiaomi Redmi 9T 4GB 64GB,3,https://cellphones.com.vn/xiaomi-redmi-9t-4gb-64gb.html,3.990.000₫,0,giảm 0%
Xiaomi Redmi Note 11S,3,https://cellphones.com.vn/xiaomi-redmi-note-11s.html,4.990.000₫,6.690.000₫,Giảm 25%
Xiaomi Redmi 9A,3,https://cellphones.com.vn/xiaomi-redmi-9a.html,1.850.000₫,2.490.000₫,Giảm 26%
Xiaomi 14 Pro,3,https://cellphones.com.vn/xiaomi-14-pro.html,Giá Liên Hệ,0,giảm 0%
Xiaomi 14 Ultra,3,https://cellphones.com.vn/xiaomi-14-ultra.html,Giá Liên Hệ,0,giảm 0%
Xiaomi Redmi Note 12 Pro 4G-Xanh dương,3,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-4g-xanh-duong.html,Giá Liên Hệ,0,giảm 0%
Xiaomi 14,3,https://cellphones.com.vn/xiaomi-14.html,Giá Liên Hệ,0,giảm 0%
Xiaomi POCO X5 Pro 8GB 256GB,3,https://cellphones.com.vn/poco-x5-pro-256gb.html,7.390.000₫,8.690.000₫,Giảm 15%
Xiaomi Redmi Note 13 8GB 256GB,3,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-8gb-256.html,Giá Liên Hệ,0,giảm 0%
Xiaomi Redmi Note 13 12GB 256GB,3,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-12gb-256.html,Giá Liên Hệ,0,giảm 0%
Xiaomi 14 Lite,3,https://cellphones.com.vn/xiaomi-14-lite.html,Giá Liên Hệ,0,giảm 0%
Redmi A2 3GB 32GB,3,https://cellphones.com.vn/xiaomi-redmi-a2-3gb-32gb.html,2.190.000₫,0,giảm 0%
Redmi Note 7 32GB,3,https://cellphones.com.vn/redmi-note-7-32-gb.html,3.100.000₫,4.290.000₫,Giảm 28%
Xiaomi Redmi Note 9T 5G,3,https://cellphones.com.vn/xiaomi-redmi-note-9t.html,Giá Liên Hệ,0,giảm 0%
Xiaomi Redmi Note 8,3,https://cellphones.com.vn/xiaomi-redmi-note-8.html,4.150.000₫,4.490.000₫,Giảm 8%
Nokia 110 4G Pro,6,https://cellphones.com.vn/nokia-110-4g-pro.html,680.000₫,710.000₫,Giảm 4%
Nokia 5710 XpressAudio,6,https://cellphones.com.vn/nokia-5710-xpressaudio.html,1.760.000₫,1.790.000₫,Giảm 2%
Điện thoại Nokia 8210 4G 128MB,6,https://cellphones.com.vn/nokia-8210-4g.html,1.550.000₫,1.590.000₫,Giảm 3%
Nokia 105 4G Pro,6,https://cellphones.com.vn/nokia-105-4g-pro.html,650.000₫,680.000₫,Giảm 4%
Điện thoại Nokia 105 4G 128MB,6,https://cellphones.com.vn/nokia-105-4g.html,620.000₫,820.000₫,Giảm 24%
Nokia 215 4G,6,https://cellphones.com.vn/nokia-215-4g.html,960.000₫,0,giảm 0%
Nokia 110 4G,6,https://cellphones.com.vn/nokia-110-4g.html,830.000₫,850.000₫,Giảm 2%
Nokia C32 4GB 128GB,6,https://cellphones.com.vn/nokia-c32.html,2.890.000₫,3.290.000₫,Giảm 12%
Nokia C31 4GB 128GB,6,https://cellphones.com.vn/nokia-c31-4gb-128gb.html,2.450.000₫,3.690.000₫,Giảm 34%
Nokia C20,6,https://cellphones.com.vn/nokia-c20.html,1.600.000₫,2.490.000₫,Giảm 36%
Nokia C21 Plus 2GB 32GB,6,https://cellphones.com.vn/nokia-c21-plus-2gb-32gb.html,1.540.000₫,2.390.000₫,Giảm 36%
Nokia G22 4GB 128GB,6,https://cellphones.com.vn/nokia-g22.html,3.420.000₫,3.990.000₫,Giảm 14%
Nokia C21 Plus 3GB 64GB,6,https://cellphones.com.vn/nokia-c21-plus.html,2.150.000₫,3.190.000₫,Giảm 33%
Nokia 105 2 SIM (2019),6,https://cellphones.com.vn/nokia-105-dual-sim-2019.html,520.000₫,0,giảm 0%
Nokia 150,6,https://cellphones.com.vn/nokia-150.html,Giá Liên Hệ,0,giảm 0%
Nokia 130,6,https://cellphones.com.vn/nokia-130.html,Giá Liên Hệ,0,giảm 0%
Nokia 2.4,6,https://cellphones.com.vn/nokia-24.html,2.690.000₫,0,giảm 0%
Nokia C21 Plus 3GB 32GB,6,https://cellphones.com.vn/nokia-c21-plus-32gb.html,1.990.000₫,2.990.000₫,Giảm 33%
Nokia C3,6,https://cellphones.com.vn/nokia-c3.html,Giá Liên Hệ,0,giảm 0%
Nokia XR21 5G,6,https://cellphones.com.vn/nokia-xr21.html,Giá Liên Hệ,0,giảm 0%
OnePlus Nord 3 5G 16GB 256GB,7,https://cellphones.com.vn/oneplus-nord-3.html,11.950.000₫,12.490.000₫,Giảm 4%
OnePlus 11 5G 8GB 128GB - Chỉ có tại CellphoneS,7,https://cellphones.com.vn/oneplus-11-8gb-128gb.html,15.990.000₫,17.990.000₫,Giảm 11%
OnePlus Nord CE 3 Lite - Chỉ có tại CellphoneS,7,https://cellphones.com.vn/oneplus-nord-ce-3-lite.html,5.690.000₫,6.190.000₫,Giảm 8%
Oneplus Ace 2 Pro,7,https://cellphones.com.vn/oneplus-ace-2-pro.html,Giá Liên Hệ,0,giảm 0%
Oneplus Nord N10 5G,7,https://cellphones.com.vn/oneplus-nord-n10-5g.html,4.590.000₫,7.990.000₫,Giảm 43%
