product_name,brand_id,product_link,current_price,original_price,percent_discount
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 512GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-24gb-512gb-2023.html,29.990.000₫,32.990.000₫,Giảm 9%
MacBook Pro 14 inch M2 Pro 2023 (12 CPU - 19 GPU 16GB 1TB 2023),1,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-1tb-2023.html,60.990.000₫,65.990.000₫,Giảm 8%
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-pro-16gb-1tb-2023.html,36.990.000₫,0,giảm 0%
Macbook Pro 14 inch M2 Max 64GB 2023 (12 CPU - 30 GPU - 64GB - 1TB),1,https://cellphones.com.vn/macbook-pro-14-inch-m2-max-64gb-2023.html,88.990.000₫,92.990.000₫,Giảm 4%
Macbook Pro 14 inch M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb-sac-96w.html,49.990.000₫,0,giảm 0%
MacBook Air 15 inch M2 2023 8GB 512GB sạc 70W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-512gb-sac-70w.html,37.990.000₫,0,giảm 0%
Mac Studio M2 Max 2023 | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-studio-m2-max-2023.html,54.990.000₫,0,giảm 0%
Macbook Pro 16 M3 Max 48GB - 1TB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-m3-max-2023-48gb-1tb.html,102.490.000₫,0,giảm 0%
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-2023-16gb-1tb.html,29.990.000₫,0,giảm 0%
Apple iMac 24 2021 M1 7GPU 16GB 256GB Chính Hãng,1,https://cellphones.com.vn/imac-2021-16gb.html,40.990.000₫,0,giảm 0%
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 32GB - 1TB),1,https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-32gb-1tb-2023.html,82.990.000₫,0,giảm 0%
Macbook Pro 16 inch 2021 M1 Max 10 CPU - 24 GPU 64GB 1TB 2021 | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max-24gpu-64gb-1tb.html,101.990.000₫,0,giảm 0%
Macbook Pro 14 inch M3 Pro (11CPU 14GPU 36GB 512GB),1,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-36gb-512gb-75858.html,59.990.000₫,0,giảm 0%
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 1TB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-pro-32gb-1tb-2023.html,46.990.000₫,0,giảm 0%
iMac M3 24 inch 8GB 256GB 10 GPU | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb-10gpu.html,41.990.000₫,0,giảm 0%
Macbook Pro 16 inch M2 Max 64GB 2023 (12CPU - 38 GPU - 64GB - 1TB),1,https://cellphones.com.vn/macbook-pro-16-inch-m2-max-64gb-2023.html,Giá Liên Hệ,0,giảm 0%
iMac M3 2023 24 inch 16GB 512GB | Chính hãng Apple Việt Nam-Hồng,1,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-512gb-75035.html,Giá Liên Hệ,0,giảm 0%
Mac Pro 2023,1,https://cellphones.com.vn/mac-pro-m2-ultra-2023.html,Giá Liên Hệ,0,giảm 0%
Apple Mac Studio M1 Max 10 CPU - 24 GPU 32GB 512GB 2022 Chính Hãng (MJMV3),1,https://cellphones.com.vn/apple-mac-studio-m1-max-10cpu-24gpu-32gb-512gb-2022-48839.html,Giá Liên Hệ,0,giảm 0%
Apple MacBook 12 inch 256GB MNYK2,1,https://cellphones.com.vn/apple-macbook-12-inch-256-gb-mnyk2.html,28.250.000₫,0,giảm 0%
Laptop Asus TUF GAMING F15 FX506HF-HN014W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn014w.html,16.290.000₫,21.990.000₫,Giảm 26%
Laptop Asus VivoBook Go 14 E1404FA-NK177W,2,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,12.790.000₫,14.490.000₫,Giảm 12%
Laptop Asus Zenbook 14 OLED UM3402YA-KM405W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-um3402ya-km405w.html,20.990.000₫,24.990.000₫,Giảm 16%
Laptop Asus VivoBook 15 OLED A1505VA-L1114W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1114w.html,16.990.000₫,20.990.000₫,Giảm 19%
Laptop Asus TUF Gaming F15 FX507ZC4-HN074W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w.html,19.490.000₫,25.990.000₫,Giảm 25%
Laptop Asus E210KA-GJ073W,2,https://cellphones.com.vn/laptop-asus-e210ka-gj073w.html,4.990.000₫,5.490.000₫,Giảm 9%
Laptop Asus VivoBook 14 OLED A1405VA-KM095W,2,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km095w.html,16.990.000₫,20.990.000₫,Giảm 19%
Laptop Asus Vivobook 15 OLED A1505ZA-L1245W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505za-l1245w.html,14.790.000₫,18.990.000₫,Giảm 22%
Laptop Asus ZenBook 14 OLED UX3402VA-KM085W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km085w.html,22.690.000₫,27.990.000₫,Giảm 19%
Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ025W,2,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz025w.html,11.990.000₫,16.990.000₫,Giảm 29%
Laptop Asus TUF Gaming F15 FX507ZC4-HN099W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn099w.html,20.990.000₫,27.990.000₫,Giảm 25%
Laptop Asus VivoBook Go 14 E1404FA-NK113W,2,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk113w.html,8.990.000₫,11.490.000₫,Giảm 22%
Laptop Asus VivoBook 14X OLED S3405VA-KM071W,2,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km071w.html,22.390.000₫,26.990.000₫,Giảm 17%
Laptop Asus VivoBook 15 OLED A1505VA-L1201W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1201w.html,21.490.000₫,24.990.000₫,Giảm 14%
Laptop ASUS ROG Flow X13 GV301RC-LJ050W,2,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301rc-lj050w.html,28.490.000₫,29.990.000₫,Giảm 5%
Laptop Asus Zenbook 14 Oled UX3405MA-PP151W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,27.490.000₫,28.990.000₫,Giảm 5%
Laptop Asus ROG Strix G16 G614JU-N3135W,2,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3135w.html,31.990.000₫,39.990.000₫,Giảm 20%
Laptop Asus E210MA GJ537W - Chỉ có tại CellphoneS,2,https://cellphones.com.vn/laptop-asus-e210ma-gj537w.html,4.990.000₫,6.990.000₫,Giảm 29%
Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp152w.html,33.490.000₫,34.990.000₫,Giảm 4%
Laptop Asus VivoBook 14 OLED M1405YA-KM047W - Chỉ có tại CellphoneS,2,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-m1405ya-km047w.html,14.490.000₫,17.990.000₫,Giảm 19%
Laptop Asus VivoBook 14 X1404ZA-NK075W,2,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk075w.html,8.990.000₫,12.490.000₫,Giảm 28%
Laptop Asus TUF Gaming F15 FX507ZU4-LP054W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zu4-lp054w.html,25.990.000₫,34.990.000₫,Giảm 26%
Laptop Asus VivoBook X515KA-EJ135W,2,https://cellphones.com.vn/laptop-asus-vivobook-x515ka-ej135w.html,7.290.000₫,7.990.000₫,Giảm 9%
Laptop Asus Zenbook 14 OLED UX3402VA-KM068W,2,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km068w.html,26.490.000₫,31.990.000₫,Giảm 17%
Laptop ASUS X515MA-BR481W,2,https://cellphones.com.vn/laptop-asus-x515ma-br481w.html,6.990.000₫,7.600.000₫,Giảm 8%
Laptop Asus Vivobook GO 15 E1504FA-NJ454W,2,https://cellphones.com.vn/laptop-asus-vivobook-go-15-e1504fa-nj454w.html,12.990.000₫,14.490.000₫,Giảm 10%
Laptop Asus ROG Strix G16 G614JU-N3777W,2,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3777w.html,36.990.000₫,43.990.000₫,Giảm 16%
Laptop ASUS ZenBook UM3402YA-KM074W,2,https://cellphones.com.vn/laptop-asus-zenbook-um3402ya-km074w.html,17.990.000₫,23.900.000₫,Giảm 25%
Laptop Asus TUF Gaming F15 FX506HF-HN078W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn078w.html,17.290.000₫,20.990.000₫,Giảm 18%
Laptop Asus ROG Strix G18 G814JI-N6063W,2,https://cellphones.com.vn/laptop-asus-rog-strix-g18-g814ji-n6063w.html,62.490.000₫,70.990.000₫,Giảm 12%
Laptop Asus Vivobook Slate OLED T3304GA-LQ021WS,2,https://cellphones.com.vn/laptop-asus-vivobook-slate-t3304ga-lq021ws.html,13.490.000₫,19.990.000₫,Giảm 33%
Laptop Asus TUF Gaming A15 FA507NU-LP034W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp034w.html,22.390.000₫,31.490.000₫,Giảm 29%
Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ118W,2,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz118w.html,22.890.000₫,26.490.000₫,Giảm 14%
Laptop Asus VivoBook 15 X1504VA-NJ069W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj069w.html,9.990.000₫,12.690.000₫,Giảm 21%
Laptop Asus Vivobook 15 X1504ZA-NJ582W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj582w.html,9.990.000₫,12.990.000₫,Giảm 23%
Laptop Asus TUF Gaming F15 FX506HE-HN377W,2,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506he-hn377w.html,19.490.000₫,22.990.000₫,Giảm 15%
Laptop Asus Gaming ROG Zephyrus G14 GA402NJ-L4056W,2,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga402nj-l4056w.html,33.490.000₫,42.990.000₫,Giảm 22%
Laptop Asus VivoBook 15 X1504VA-NJ070W,2,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html,15.490.000₫,18.490.000₫,Giảm 16%
Laptop Asus VivoBook S 14 Flip TN3402YA-LZ192W,2,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tn3402ya-lz192w.html,15.990.000₫,18.990.000₫,Giảm 16%
Laptop Asus VivoBook 15X OLED S3504VA-L1226W,2,https://cellphones.com.vn/laptop-asus-vivobook-15x-oled-s3504va-l1226w.html,18.490.000₫,21.990.000₫,Giảm 16%
