product_name,current_price,original_price,percent_discount,product_link,brand_name
iMac M3 2023 24 inch 16GB 512GB | Chính hãng Apple Việt Nam-Hồng,0,0,0,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-512gb-75035.html,mac
Mac Pro 2023,0,0,0,https://cellphones.com.vn/mac-pro-m2-ultra-2023.html,mac
Apple Mac Studio M1 Max 10 CPU - 24 GPU 32GB 512GB 2022 Chính Hãng (MJMV3),0,0,0,https://cellphones.com.vn/apple-mac-studio-m1-max-10cpu-24gpu-32gb-512gb-2022-48839.html,mac
Apple MacBook 12 inch 256GB MNYK2,28250000,28250000,0,https://cellphones.com.vn/apple-macbook-12-inch-256-gb-mnyk2.html,mac
Laptop Asus TUF GAMING F15 FX506HF-HN014W,16290000,21990000,26,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn014w.html,asus
Laptop Asus VivoBook Go 14 E1404FA-NK177W,12790000,14490000,12,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,asus
Laptop Asus Zenbook 14 OLED UM3402YA-KM405W,20990000,24990000,16,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-um3402ya-km405w.html,asus
Laptop Asus VivoBook 15 OLED A1505VA-L1114W,16990000,20990000,19,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1114w.html,asus
Laptop Asus TUF Gaming F15 FX507ZC4-HN074W,19490000,25990000,25,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w.html,asus
Laptop Asus E210KA-GJ073W,4990000,5490000,9,https://cellphones.com.vn/laptop-asus-e210ka-gj073w.html,asus
Laptop Asus VivoBook 14 OLED A1405VA-KM095W,16990000,20990000,19,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km095w.html,asus
Laptop Asus Vivobook 15 OLED A1505ZA-L1245W,14790000,18990000,22,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505za-l1245w.html,asus
Laptop Asus ZenBook 14 OLED UX3402VA-KM085W,22690000,27990000,19,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3402va-km085w.html,asus
Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ025W,11990000,16990000,29,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz025w.html,asus
Laptop Asus TUF Gaming F15 FX507ZC4-HN099W,20990000,27990000,25,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn099w.html,asus
Laptop Asus VivoBook Go 14 E1404FA-NK113W,8990000,11490000,22,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk113w.html,asus
Laptop Asus VivoBook 14X OLED S3405VA-KM071W,22390000,26990000,17,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km071w.html,asus
Laptop Asus VivoBook 15 OLED A1505VA-L1201W,21490000,24990000,14,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1201w.html,asus
Laptop ASUS ROG Flow X13 GV301RC-LJ050W,28490000,29990000,5,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301rc-lj050w.html,asus
Laptop Asus Zenbook 14 Oled UX3405MA-PP151W,27490000,28990000,5,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,asus
Laptop Asus ROG Strix G16 G614JU-N3135W,31990000,39990000,20,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3135w.html,asus
Laptop Asus E210MA GJ537W - Chỉ có tại CellphoneS,4990000,6990000,29,https://cellphones.com.vn/laptop-asus-e210ma-gj537w.html,asus
Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,33490000,34990000,4,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp152w.html,asus
Laptop Asus VivoBook 14 OLED M1405YA-KM047W - Chỉ có tại CellphoneS,14490000,17990000,19,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-m1405ya-km047w.html,asus
Laptop Asus VivoBook 14 X1404ZA-NK075W,8990000,12490000,28,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk075w.html,asus
